train_acc,test_acc
0.37,0.43
0.4141666666666667,0.41333333333333333
0.4666666666666667,0.3933333333333333
0.49833333333333335,0.48333333333333334
0.47583333333333333,0.45666666666666667
0.5083333333333333,0.48333333333333334
0.5258333333333334,0.4866666666666667
0.5341666666666667,0.4766666666666667
0.5316666666666666,0.43666666666666665
0.5658333333333333,0.4533333333333333
0.5416666666666666,0.44666666666666666
0.5583333333333333,0.4533333333333333
0.5616666666666666,0.52
0.5366666666666666,0.44666666666666666
0.5775,0.55
0.5583333333333333,0.5133333333333333
0.5625,0.5233333333333333
0.5858333333333333,0.4766666666666667
0.5633333333333334,0.5133333333333333
0.5883333333333334,0.4266666666666667
0.5533333333333333,0.48333333333333334
0.5758333333333333,0.4766666666666667
0.5983333333333334,0.4633333333333333
0.5933333333333334,0.56
0.59,0.47333333333333333
0.6066666666666667,0.4633333333333333
0.6016666666666667,0.4766666666666667
0.6308333333333334,0.44
0.6016666666666667,0.4766666666666667
0.6108333333333333,0.49333333333333335
0.6066666666666667,0.49333333333333335
0.6,0.5
0.6291666666666667,0.4866666666666667
0.6175,0.5033333333333333
0.6375,0.47333333333333333
0.6108333333333333,0.47333333333333333
0.6433333333333333,0.5133333333333333
0.6341666666666667,0.5566666666666666
0.6216666666666667,0.49666666666666665
0.6358333333333334,0.5033333333333333
0.65,0.5233333333333333
0.6291666666666667,0.5433333333333333
0.635,0.5
0.635,0.49333333333333335
0.6258333333333334,0.46
0.6483333333333333,0.5
0.635,0.52
0.6425,0.56
0.65,0.5233333333333333
0.6466666666666666,0.55
